,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
127,AM,13.0,3957.0,São Sebastião do Uatumã,14020
128,AM,13.0,4005.0,Silves,9171
129,AM,13.0,4062.0,Tabatinga,65844
130,AM,13.0,4104.0,Tapauá,17156
131,AM,13.0,4203.0,Tefé,59849
132,AM,13.0,4237.0,Tonantins,18755
133,AM,13.0,4260.0,Uarini,13540
134,AM,13.0,4302.0,Urucará,16256
135,AM,13.0,4401.0,Urucurituba,23065
136,RR,14.0,27.0,Amajari,12796
137,RR,14.0,50.0,Alto Alegre,15510
138,RR,14.0,100.0,Boa Vista,399213
139,RR,14.0,159.0,Bonfim,12409
140,RR,14.0,175.0,Cantá,18335
141,RR,14.0,209.0,Caracaraí,21926
142,RR,14.0,233.0,Caroebe,10169
143,RR,14.0,282.0,Iracema,11950
144,RR,14.0,308.0,Mucajaí,17853
145,RR,14.0,407.0,Normandia,11290
146,RR,14.0,456.0,Pacaraima,17401
147,RR,14.0,472.0,Rorainópolis,30163
148,RR,14.0,506.0,São João da Baliza,8201
149,RR,14.0,605.0,São Luiz,7986
150,RR,14.0,704.0,Uiramutã,10559
151,PA,15.0,107.0,Abaetetuba,157698
152,PA,15.0,131.0,Abel Figueiredo,7434
153,PA,15.0,206.0,Acará,55591
154,PA,15.0,305.0,Afuá,39218
155,PA,15.0,347.0,Água Azul do Norte,27430
156,PA,15.0,404.0,Alenquer,56789
157,PA,15.0,503.0,Almeirim,34109
158,PA,15.0,602.0,Altamira,114594
159,PA,15.0,701.0,Anajás,29277
160,PA,15.0,800.0,Ananindeua,530598
161,PA,15.0,859.0,Anapu,27890
162,PA,15.0,909.0,Augusto Corrêa,45998
163,PA,15.0,958.0,Aurora do Pará,31338
164,PA,15.0,1006.0,Aveiro,16388
165,PA,15.0,1105.0,Bagre,30673
166,PA,15.0,1204.0,Baião,47446
167,PA,15.0,1253.0,Bannach,3286
168,PA,15.0,1303.0,Barcarena,124680
169,PA,15.0,1402.0,Belém,1492745
170,PA,15.0,1451.0,Belterra,17732
171,PA,15.0,1501.0,Benevides,62737
172,PA,15.0,1576.0,Bom Jesus do Tocantins,16981
173,PA,15.0,1600.0,Bonito,16286
174,PA,15.0,1709.0,Bragança,127686
175,PA,15.0,1725.0,Brasil Novo,15086
176,PA,15.0,1758.0,Brejo Grande do Araguaia,7380
177,PA,15.0,1782.0,Breu Branco,66046
178,PA,15.0,1808.0,Breves,102701
179,PA,15.0,1907.0,Bujaru,29132
180,PA,15.0,1956.0,Cachoeira do Piriá,33900
181,PA,15.0,2004.0,Cachoeira do Arari,23767
182,PA,15.0,2103.0,Cametá,137890
183,PA,15.0,2152.0,Canaã dos Carajás,37085
184,PA,15.0,2202.0,Capanema,69027
185,PA,15.0,2301.0,Capitão Poço,54303
186,PA,15.0,2400.0,Castanhal,200793
187,PA,15.0,2509.0,Chaves,23717
188,PA,15.0,2608.0,Colares,12085
189,PA,15.0,2707.0,Conceição do Araguaia,47864
190,PA,15.0,2756.0,Concórdia do Pará,33318
191,PA,15.0,2764.0,Cumaru do Norte,13473
